id,sessions_weight,views_weight,cart_weight,checkout_weight,orders_gross_weight,orders_net_weight,discount_penalty,dnp_weight,created_at
65,1.0,1.0,1.1,1.2,1.3,1.0,6.0,1.0,"2025-05-09 19:01:58"
66,1.0,1.0,1.1,1.2,1.3,1.0,10.0,1.0,"2025-05-09 19:02:40"
67,1.0,1.0,1.1,1.2,1.2,1.0,10.0,0.0,"2025-05-09 19:03:00"
68,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,"2025-05-09 19:03:43"
69,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,"2025-05-09 19:03:55"
70,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"2025-05-09 19:04:11"
71,1.0,1.1,1.1,1.0,1.0,1.0,1.0,3.0,"2025-05-09 19:36:11"
72,1.0,1.1,1.1,1.0,1.0,1.0,1.0,20.0,"2025-05-09 19:36:21"
73,1.0,1.1,1.1,1.0,1.0,1.0,1.0,5.0,"2025-05-09 19:36:35"
74,1.0,1.1,1.1,1.0,1.0,1.0,1.0,8.0,"2025-05-09 19:36:45"
75,1.0,1.1,1.1,1.0,1.0,1.0,1.0,10.0,"2025-05-09 19:36:52"
76,1.0,1.1,1.1,1.1,1.1,1.0,1.0,10.0,"2025-05-09 19:37:40"
77,1.0,1.1,1.1,1.1,1.1,1.0,4.0,10.0,"2025-05-09 19:38:34"
78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"2025-05-10 11:33:53"
79,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,"2025-05-10 11:34:08"
80,1.9,1.2,1.0,1.0,1.0,1.0,0.0,0.0,"2025-05-10 12:19:41"
81,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,"2025-05-10 12:22:20"
82,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.0,"2025-05-10 12:24:56"
83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"2025-05-10 12:25:12"
84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"2025-05-10 12:25:45"
85,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,"2025-05-10 12:26:01"
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2025-05-10 12:33:16"
87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2025-05-10 12:33:33"
88,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,"2025-05-10 12:34:10"
89,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,"2025-05-10 12:34:33"
90,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,"2025-05-10 12:34:43"
91,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,"2025-05-10 12:34:55"
92,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"2025-05-10 12:35:08"
93,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"2025-05-10 12:35:30"
94,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,"2025-05-10 12:35:46"
95,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"2025-05-10 12:36:14"
96,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"2025-05-10 12:36:43"
97,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"2025-05-10 12:37:00"
98,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,"2025-05-10 12:37:22"
99,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"2025-05-10 12:38:05"
100,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2025-05-10 12:38:18"
101,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"2025-05-10 12:45:20"
102,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"2025-05-10 12:54:43"
103,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,"2025-05-10 12:54:56"
104,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,"2025-05-10 12:55:14"
105,9.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,"2025-05-10 12:55:35"
106,1.0,10.0,0.0,0.0,0.1,0.0,0.0,0.0,"2025-05-10 12:55:52"
107,1.0,10.0,10.0,0.0,0.1,0.0,0.0,0.0,"2025-05-10 13:01:40"
108,10.0,10.0,10.0,0.0,0.1,0.0,0.0,0.0,"2025-05-10 13:02:22"
109,10.0,10.0,10.0,0.0,0.1,0.0,5.0,0.0,"2025-05-10 13:02:37"
110,10.0,10.0,10.0,0.0,0.1,0.0,100.0,0.0,"2025-05-10 13:02:48"
111,10.0,10.0,10.0,0.0,0.1,0.0,100.0,10.0,"2025-05-10 13:03:02"
112,10.0,10.0,10.0,0.0,0.1,0.0,20.0,30.0,"2025-05-10 13:03:16"
113,10.0,10.0,10.0,0.0,0.1,0.0,20.0,100.0,"2025-05-10 13:03:26"
114,0.0,10.0,10.0,0.0,0.1,0.0,20.0,100.0,"2025-05-10 13:03:46"
115,0.0,10.0,10.0,0.0,1.0,0.0,20.0,100.0,"2025-05-10 13:04:04"
116,0.0,10.0,5.0,10.0,1.0,0.0,20.0,100.0,"2025-05-10 13:05:41"
117,0.0,10.0,5.0,10.0,1.0,0.5,20.0,100.0,"2025-05-10 13:06:50"
118,0.0,10.0,5.0,10.0,1.0,2.0,20.0,100.0,"2025-05-10 13:07:20"
119,0.0,10.0,5.0,10.0,1.0,2.0,20.0,150.0,"2025-05-10 13:07:49"
